2.Mose 17,1-7;1 The whole Israelite community set out from the Desert of Sin, travelling from place to place as the Lord commanded. They camped at Rephidim, but there was no water for the people to drink. 2 So they quarrelled with Moses and said, ‘Give us water to drink.’ Moses replied, ‘Why do you quarrel with me? Why do you put the Lord to the test?’ 3 But the people were thirsty for water there, and they grumbled against Moses. They said, ‘Why did you bring us up out of Egypt to make us and our children and livestock die of thirst?’ 4 Then Moses cried out to the Lord, ‘What am I to do with these people? They are almost ready to stone me.’ 5 The Lord answered Moses, ‘Go out in front of the people. Take with you some of the elders of Israel and take in your hand the staff with which you struck the Nile, and go. 6 I will stand there before you by the rock at Horeb. Strike the rock, and water will come out of it for the people to drink.’ So Moses did this in the sight of the elders of Israel. 7 And he called the place Massah and Meribah because the Israelites quarrelled and because they tested the Lord saying, ‘Is the Lord among us or not?’
2.Pet 3,11;11 Since everything will be destroyed in this way, what kind of people ought you to be? You ought to live holy and godly lives
Apg 1,8;"8 But you will receive power when the Holy Spirit comes on you; and you will be my witnesses in Jerusalem, and in all Judea and Samaria, and to the ends of the earth.’"
Eph 5,17;17 Therefore do not be foolish, but understand what the Lord’s will is. 
1.Kor 10,4;"4 and drank the same spiritual drink; for they drank from the spiritual rock that accompanied them, and that rock was Christ."
Off 7,17;"17 For the Lamb at the centre of the throne will be their shepherd; “he will lead them to springs of living water.” “And God will wipe away every tear from their eyes.” ’"
Heb 10,14;14 For by one sacrifice he has made perfect for ever those who are being made holy.
2.Kor 4,13;"13 It is written: ‘I believed; therefore I have spoken.’ Since we have that same spirit of faith, we also believe and therefore speak,"
Hiob 22,28;28 What you decide on will be done, and light will shine on your ways.
Eph 5,18;18 Do not get drunk on wine, which leads to debauchery. Instead, be filled with the Spirit, 
Ps 23,2;2 He makes me lie down in green pastures, he leads me beside quiet waters,
Jes 35,6f;6 Then will the lame leap like a deer, and the mute tongue shout for joy. Water will gush forth in the wilderness and streams in the desert. 7 The burning sand will become a pool, the thirsty ground bubbling springs. In the haunts where jackals once lay, grass and reeds and papyrus will grow. 
Dan 11,31f;31 ‘His armed forces will rise up to desecrate the temple fortress and will abolish the daily sacrifice. Then they will set up the abomination that causes desolation. 32 With flattery he will corrupt those who have violated the covenant, but the people who know their God will firmly resist him. 
Rö 3,23;23 for all have sinned and fall short of the glory of God,
Rö 8,15;"15 The Spirit you received does not make you slaves, so that you live in fear again; rather, the Spirit you received brought about your adoption to sonship. And by him we cry, ‘Abba, Father.’ "
Rö 10,9-10;9 if you declare with your mouth, ‘Jesus is Lord,’ and believe in your heart that God raised him from the dead, you will be saved. 10 For it is with your heart that you believe and are justified, and it is with your mouth that you profess your faith and are saved. 
1. Mose 1:26;26 Then God said, ‘Let us make mankind in our image, in our likeness, so that they may rule over the fish in the sea and the birds in the sky, over the livestock and all the wild animals, and over all the creatures that move along the ground.’
Römer 5:17-18;17 For if, by the trespass of the one man, death reigned through that one man, how much more will those who receive God’s abundant provision of grace and of the gift of righteousness reign in life through the one man, Jesus Christ! 18 Consequently, just as one trespass resulted in condemnation for all people, so also one righteous act resulted in justification and life for all people.
Johannes 17:16-18;"16 They are not of the world, even as I am not of it. 17 Sanctify them by the truth; your word is truth. 18 As you sent me into the world, I have sent them into the world. "
1. Johannes 5:4;4 for everyone born of God overcomes the world. This is the victory that has overcome the world, even our faith. 
1.Kor.15,57;57 But thanks be to God! He gives us the victory through our Lord Jesus Christ.
Jes.60,1-2;1 ‘Arise, shine, for your light has come, and the glory of the Lord rises upon you. 2 See, darkness covers the earth and thick darkness is over the peoples, but the Lord rises upon you and his glory appears over you. 
